report_name,page,year,table_title,topic,metric_label,metric_values_text,primary_numeric_value,numeric_value_count,row_text
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,2 days,3 days | 4 days | 5 days | 1 day | Other | Total,3.0,4,2 days: 3 days | 4 days | 5 days | 1 day | Other | Total
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Good service,680 | 542 | 112 | 34 | 68 | 94 | 1530,680.0,7,Good service: 680 | 542 | 112 | 34 | 68 | 94 | 1530
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Friendly,67 | 88 | 231 | 30 | 10 | 99 | 525,67.0,7,Friendly: 67 | 88 | 231 | 30 | 10 | 99 | 525
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Helpful,97 | 125 | 63 | 8 | 10 | 58 | 361,97.0,7,Helpful: 97 | 125 | 63 | 8 | 10 | 58 | 361
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Beautiful,25 | 99 | 60 | 12 | 21 | 140 | 357,25.0,7,Beautiful: 25 | 99 | 60 | 12 | 21 | 140 | 357
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Great,172 | 77 | 29 | 10 | 27 | 18 | 333,172.0,7,Great: 172 | 77 | 29 | 10 | 27 | 18 | 333
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Enjoyable,8 | 1 | 192 | 0 | 3 | 10 | 214,8.0,7,Enjoyable: 8 | 1 | 192 | 0 | 3 | 10 | 214
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Fantastic,24 | 92 | 2 | 6 | 19 | 71 | 214,24.0,7,Fantastic: 24 | 92 | 2 | 6 | 19 | 71 | 214
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Nice Culture,23 | 49 | 11 | 8 | 2 | 55 | 148,23.0,7,Nice Culture: 23 | 49 | 11 | 8 | 2 | 55 | 148
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Wonderful,22 | 46 | 9 | 9 | 2 | 42 | 130,22.0,7,Wonderful: 22 | 46 | 9 | 9 | 2 | 42 | 130
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Amazing,20 | 15 | 6 | 3 | 0 | 20 | 64,20.0,7,Amazing: 20 | 15 | 6 | 3 | 0 | 20 | 64
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Interesting,2 | 34 | 2 | 1 | 8 | 12 | 59,2.0,7,Interesting: 2 | 34 | 2 | 1 | 8 | 12 | 59
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Refreshing,10 | 15 | 17 | 3 | 0 | 9 | 54,10.0,7,Refreshing: 10 | 15 | 17 | 3 | 0 | 9 | 54
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Nice,0 | 0 | 0 | 53 | 0 | 0 | 53,0.0,7,Nice: 0 | 0 | 0 | 53 | 0 | 0 | 53
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Peaceful,5 | 9 | 1 | 4 | 4 | 26 | 49,5.0,7,Peaceful: 5 | 9 | 1 | 4 | 4 | 26 | 49
Perception-Survey-Report-2024,18,2024,Table 5: Perceptions by Length of Stay,perception,Grateful,0 | 39 | 0 | 0 | 0 | 6 | 45,0.0,7,Grateful: 0 | 39 | 0 | 0 | 0 | 6 | 45
