business_type,district,has_license,license_valid,tax_clearance,previous_experience,rating,issue_date,expiry_date,approved
activity_provider,Mohale's Hoek,1,1,1,9,2.9,2025-04-29,2026-04-29,1
craft_shop,Mafeteng,1,1,1,7,4.6,2024-01-10,2025-01-09,0
activity_provider,Mohale's Hoek,1,1,1,8,3.2,2026-01-26,2027-01-26,1
activity_provider,Mafeteng,1,1,1,2,3.5,2025-07-25,2026-07-25,1
restaurant,Mohale's Hoek,1,1,1,3,4.9,2026-03-12,2027-03-12,1
accommodation,Leribe,1,1,1,6,4.0,2024-02-09,2025-02-08,0
transport,Maseru,1,1,1,5,3.0,2024-02-13,2025-02-12,1
tour_operator,Leribe,1,1,0,14,4.8,2024-12-25,2025-12-25,0
activity_provider,Maseru,0,0,1,14,4.6,2023-09-16,2024-09-15,0
activity_provider,Mafeteng,1,1,1,8,5.0,2025-04-16,2026-04-16,1
restaurant,Berea,1,1,1,4,4.8,2026-02-13,2027-02-13,1
accommodation,Mafeteng,1,1,1,7,4.2,2024-05-11,2025-05-11,1
restaurant,Berea,1,1,1,0,4.3,2024-11-08,2025-11-08,1
restaurant,Maseru,1,1,1,2,2.6,2024-03-13,2025-03-13,1
craft_shop,Mafeteng,0,0,1,10,3.0,2024-10-17,2025-10-17,1
restaurant,Berea,1,0,0,8,2.8,2024-01-20,2025-01-19,0
activity_provider,Mafeteng,0,0,0,11,3.4,2025-09-17,2026-09-17,0
accommodation,Berea,1,1,0,6,2.9,2025-02-08,2026-02-08,0
craft_shop,Maseru,1,1,0,5,3.0,2024-12-09,2025-12-09,0
accommodation,Quthing,0,0,1,1,4.3,2024-07-21,2025-07-21,0
accommodation,Berea,1,1,1,4,3.4,2025-03-06,2026-03-06,1
tour_operator,Mohale's Hoek,1,0,1,3,2.7,2025-09-23,2026-09-23,0
transport,Mohale's Hoek,1,1,1,0,2.9,2025-09-20,2026-09-20,0
craft_shop,Berea,1,1,1,2,4.5,2025-10-29,2026-10-29,1
activity_provider,Maseru,1,1,0,0,4.2,2023-08-16,2024-08-15,0
transport,Leribe,1,1,0,8,3.8,2023-10-27,2024-10-26,0
transport,Mafeteng,1,1,1,8,3fr.4,2023-12-31,2024-12-30,1
activity_provider,Quthing,0,0,1,7,4.5,2025-12-12,2026-12-12,0
restaurant,Quthing,0,0,1,13,3.9,2023-12-25,2024-12-24,0
craft_shop,Maseru,1,1,1,3,3.4,2025-02-27,2026-02-27,1
accommodation,Maseru,1,1,1,5,3.1,2026-02-16,2027-02-16,1
