vendor_id,business_name,business_type,district,has_license,license_valid,license_expiry_date,tax_clearance,previous_experience_years,rating,negative_history,business_category_approved,registration_date,system_decision,rejection_reason
V0001,Business_V0001,unlicensed_taxi,Berea,0,0,,1,7,3.0,0,0,2025-09-06 00:41:48.869465,0,Missing business license; Business type 'unlicensed_taxi' not approved by Ministry of Tourism
V0002,Business_V0002,street_vendor,Leribe,1,1,2026-09-15 00:41:48.870482,1,1,3.6,0,0,2025-09-29 00:41:48.870482,0,Insufficient experience (1 years) and low rating (3.6); Business type 'street_vendor' not approved by Ministry of Tourism
V0003,Business_V0003,craft_shop,Berea,1,1,2027-01-15 00:41:48.870482,1,16,2.6,0,1,2025-04-10 00:41:48.870482,1,
V0004,Business_V0004,unlicensed_taxi,Qacha's Nek,0,0,,1,4,3.0,0,0,2025-07-09 00:41:48.870482,0,Missing business license; Business type 'unlicensed_taxi' not approved by Ministry of Tourism
V0005,Business_V0005,activity_provider,Qacha's Nek,0,0,,1,8,0.1,0,1,2025-07-19 00:41:48.870482,0,Missing business license
V0006,Business_V0006,restaurant,Quthing,0,0,,1,7,3.8,0,1,2025-12-24 00:41:48.870482,0,Missing business license
V0007,Business_V0007,activity_provider,Mokhotlong,1,0,2025-09-02 00:41:48.871479,1,9,4.5,0,1,2025-09-06 00:41:48.871479,0,License is expired
V0008,Business_V0008,unregistered,Thaba-Tseka,0,0,,0,12,1.4,0,0,2025-09-04 00:41:48.871479,0,Missing business license; Missing tax clearance certificate; Business type 'unregistered' not approved by Ministry of Tourism
V0009,Business_V0009,unregistered,Berea,1,1,2027-03-30 00:41:48.871479,1,0,1.0,1,0,2026-01-18 00:41:48.871479,0,Insufficient experience (0 years) and low rating (1.0); Business type 'unregistered' not approved by Ministry of Tourism; Has negative history/complaints in system
V0010,Business_V0010,street_vendor,Leribe,1,1,2027-01-23 00:41:48.871479,0,8,4.6,0,0,2026-03-07 00:41:48.871479,0,Missing tax clearance certificate; Business type 'street_vendor' not approved by Ministry of Tourism
V0011,Business_V0011,unlicensed_taxi,Berea,1,1,2026-08-14 00:41:48.871479,1,2,2.4,1,0,2025-07-26 00:41:48.871479,0,Business type 'unlicensed_taxi' not approved by Ministry of Tourism; Has negative history/complaints in system
V0012,Business_V0012,craft_shop,Berea,1,1,2027-02-14 00:41:48.871479,1,14,0.6,0,1,2026-02-05 00:41:48.871479,1,
V0013,Business_V0013,unlicensed_taxi,Mafeteng,1,1,2026-12-15 00:41:48.872477,1,6,2.1,0,0,2026-03-27 00:41:48.872477,0,Business type 'unlicensed_taxi' not approved by Ministry of Tourism
V0014,Business_V0014,unlicensed_taxi,Mafeteng,1,1,2026-07-12 00:41:48.872477,1,5,2.3,0,0,2025-06-27 00:41:48.872477,0,Business type 'unlicensed_taxi' not approved by Ministry of Tourism
